DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI,LFC,VP_FRMB,VS_FRMB,RHO_FRMB,IP_FRMB,IS_FRMB,VPVS_FRMB,VP_FRMO,VS_FRMO,RHO_FRMO,IP_FRMO,IS_FRMO,VPVS_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,IP_FRMG,IS_FRMG,VPVS_FRMG,LFC_B,LFC_O,LFC_G
2414.522,3373.4,1664.4,2.2546,63.2706,0.2719,2.255879999999998,1.0,1.0,2.026796443162701,7609.985591999994,3754.686671999997,0.16906293217583485,2.6770500691481343,1.09,0.2653791946048705,1.0,3373.4,1664.4,2.255879999999998,7609.985591999994,3754.686671999997,2.0267964431627012,3313.8207103318273,1695.6048402705796,2.1736124496724885,7202.961951959789,3685.587790537063,1.9543590768489536,3359.2149597986036,1753.2793976229325,2.032961476531907,6829.15460466024,3564.3494729644895,1.915961006758519,1.0,2.0,3.0
2414.6743,3377.5,1678.4,2.2592,64.0675,0.2769,2.2582569999999977,1.0,1.0,2.012333174451859,7627.263017499995,3790.258548799997,0.17810380955730445,2.6784966095291685,1.09,0.2645517824893118,1.0,3377.5,1678.4,2.2582569999999977,7627.263017499992,3790.2585487999963,2.0123331744518587,3318.8327612979356,1709.7324941291895,2.176245947428311,7222.596346966944,3720.7984115351474,1.9411415368743412,3364.490825174341,1767.6232015327164,2.036033502708976,6850.216039611926,3598.9400584863106,1.9033982028845124,1.0,2.0,3.0
2414.8269,3371.9,1703.3,2.2572,64.4214,0.278,2.2561930000000037,1.0,1.0,1.9796277813655845,7607.657176700013,3842.973536900007,0.18211882587717165,2.6791390121403484,1.09,0.2661479007872914,1.0,3371.9,1703.3,2.2561930000000037,7607.657176700012,3842.9735369000064,1.9796277813655845,3308.347228902033,1735.3247106002616,2.1736871507559434,7191.311861703381,3772.0530258210647,1.906471571973208,3351.289017540162,1794.5279904259494,2.032628763338679,6811.926451313156,3647.609209956142,1.867504455444409,1.0,2.0,3.0
2414.9792,3382.200000000001,1709.7,2.2539,66.8107,0.2728,2.26984000000004,1.0,1.0,1.9782417968064567,7677.052848000136,3880.745448000068,0.20922557493921884,2.6834760919902747,1.09,0.25958098403195834,4.0,3382.200000000001,1709.7,2.26984000000004,7677.052848000138,3880.7454480000683,1.9782417968064578,3382.200000000001,1709.7,2.26984000000004,7677.052848000138,3880.7454480000683,1.9782417968064578,3382.200000000001,1709.7,2.26984000000004,7677.052848000138,3880.7454480000683,1.9782417968064578,4.0,4.0,4.0
2415.1316,3375.5,1731.0,2.2939,75.1331,0.2936,2.295896000000017,1.0,1.0,1.9500288850375505,7749.796948000058,3974.195976000029,0.3036436925443677,2.698582990807098,1.09,0.25033647198086784,4.0,3375.5,1731.0,2.295896000000017,7749.796948000057,3974.195976000029,1.9500288850375505,3375.5,1731.0,2.295896000000017,7749.796948000057,3974.195976000029,1.9500288850375505,3375.5,1731.0,2.295896000000017,7749.796948000057,3974.195976000029,1.9500288850375505,4.0,4.0,4.0
2415.2839,3391.8,1807.7,2.2996,80.2263,0.2916,2.2941270000000022,1.0,1.0,1.8763069093323008,7781.219958600005,4147.093377900003,0.361426346176318,2.7078282153882105,1.09,0.2557139326989287,4.0,3391.8,1807.7,2.2941270000000022,7781.219958600008,4147.093377900004,1.8763069093323008,3391.8,1807.7,2.2941270000000022,7781.219958600008,4147.093377900004,1.8763069093323008,3391.8,1807.7,2.2941270000000022,7781.219958600008,4147.093377900004,1.8763069093323008,4.0,4.0,4.0
2415.4363,3421.4,1800.0,2.2865,79.6655,0.2844,2.2714800000000848,1.0,1.0,1.9007777777777781,7771.641672000291,4088.664000000153,0.35506403718456475,2.70681024594953,1.09,0.26925252795746724,4.0,3421.4,1800.0,2.2714800000000848,7771.64167200029,4088.6640000001526,1.900777777777778,3421.4,1800.0,2.2714800000000848,7771.64167200029,4088.6640000001526,1.900777777777778,3421.4,1800.0,2.2714800000000848,7771.64167200029,4088.6640000001526,1.900777777777778,4.0,4.0,4.0
2415.5889,3415.1,1800.0,2.2464,71.2486,0.2585,2.2415549999999858,1.0,1.0,1.8972777777777776,7655.134480499953,4034.798999999975,0.2595738115199996,2.6915318098432004,1.09,0.28096651410705936,4.0,3415.1,1800.0,2.2415549999999858,7655.134480499951,4034.7989999999745,1.8972777777777776,3415.1,1800.0,2.2415549999999858,7655.134480499951,4034.7989999999745,1.8972777777777776,3415.1,1800.0,2.2415549999999858,7655.134480499951,4034.7989999999745,1.8972777777777776,4.0,4.0,4.0
2415.7412,3378.5,1592.2,2.2359,64.4491,0.2683,2.2343520000000017,1.0,1.0,2.1219067956286897,7548.7582320000065,3557.535254400003,0.18243308400675715,2.6791892934410813,1.09,0.27991460506121985,1.0,3378.5,1592.2,2.2343520000000017,7548.758232000006,3557.535254400003,2.1219067956286897,3343.3402062734035,1624.0481275495642,2.1475784724310234,7180.085453005859,3487.770796917357,2.0586460152002903,3410.090057564881,1683.2271083835842,1.9992237317485768,6817.53297048358,3365.1475810029956,2.0259239175631008,1.0,2.0,3.0
2415.8936,3385.0,1746.4,2.2321,62.0582,0.2712,2.230596000000004,1.0,1.0,1.9382730187814936,7550.567460000011,3895.512854400005,0.15530818285058218,2.6748493092560928,1.09,0.2803126497020818,1.0,3385.0000000000005,1746.4,2.230596000000004,7550.567460000014,3895.5128544000067,1.9382730187814936,3317.296695787273,1781.4443971290564,2.143699078592358,7111.285870176652,3818.880712689077,1.862138779707842,3363.7036868990135,1846.58037422128,1.995133374250255,6711.037486820852,3684.174132844401,1.8215853118863123,1.0,2.0,3.0
